me,parent,tau_sums,lambda_sums
0 1 4 2,0 1 4,633.1222925691436,0.00572918 0.18682177 0.00282612 ... 0.16713244 0.20825779 0.01404333
0 4 2 0,0 4 2,216.5944685104965,0.46230823 0.01139929 0.03168083 ... 0.00208172 0.02056399 0.08228475
0 4 2 1,0 4 2,216.5944685104965,0.15250632 0.47012568 0.18848154 ... 0.12341191 0.10054113 0.15777234
0 4 2 2,0 4 2,149.95001666111295,0.08469633 0.5332897  0.02500949 ... 0.03356224 0.08071258 0.04884355
0 3 3 0,0 3 3,433.188937020993,0.03976612 0.38210303 0.05051244 ... 0.40299418 0.90839081 0.00996205
0 3 3 1,0 3 3,233.25558147284238,1.89487201e-01 1.15607094e-01 6.01880529e-01 ... 9.88551221e+01
 1.39523597e-02 8.77000900e-02
0 3 3 2,0 3 3,216.5944685104965,5.43646745e-02 9.55189769e-02 1.65233124e-01 ... 7.31806963e+01
 1.12773717e-01 2.13241876e-01
0 2 4 0,0 2 4,499.83338887037655, 0.59547928  0.26351405 33.41970544 ...  0.08897337  0.26233186
  0.16088073
0 2 4 1,0 2 4,216.5944685104965,0.45290482 0.45713949 0.09061951 ... 0.10143994 0.27805905 0.21005693
0 2 4 2,0 2 4,83.30556481172943,0.38321199 0.10005137 0.2662868  ... 0.12632975 0.0510005  0.28822888
0 4 3 0,0 4 3,266.5778073975342,0.08055557 0.46067066 0.25174276 ... 0.57899996 0.1367116  0.23327117
0 4 3 1,0 4 3,199.93335554815062,0.20604688 0.66046204 0.04274422 ... 0.06279625 0.34440681 0.14537991
0 4 3 2,0 4 3,33.32222592469177,0.01248437 0.06833005 0.2703876  ... 0.01034379 0.00170393 0.41229677
0 3 4 0,0 3 4,383.20559813395533,1.34241630e-02 7.01638569e-01 9.14009009e-03 ... 2.89959772e+02
 1.08285569e-01 4.94306128e-01
0 3 4 1,0 3 4,83.30556481172943,0.42764313 0.03943731 0.02996979 ... 0.53381922 0.32276339 0.08248533
0 3 4 2,0 3 4,33.32222592469177,0.49324028 0.0883472  0.00837337 ... 0.00217748 0.4956597  0.14507771
0 4 4 0,0 4 4,199.93335554815062,0.0439474  0.0435258  0.22299899 ... 0.09791855 0.82960537 0.08346706
0 4 4 1,0 4 4,133.2889036987671,0.22395612 0.19612045 0.3741495  ... 0.34096349 0.46933068 0.21648589
0 4 4 2,0 4 4,133.2889036987671,0.0204002  0.33980629 0.01568626 ... 0.04117601 0.41861117 0.13714281
